,NUMERO_ORDRE,Exercice d’engagement,Date d’engagement,Rubrique budgétaire,Type d’engagement,Montant engagé,Fournisseur,type de dépense,Nature de prestation,Service bénéficiair,"type budget(I,F)"
7172,14206/2018,2018,2018-12-17 00:00:00,Primes de publicité									,Engagement,120106.8,REGIE 3 ONLINE,Contrat Droit Commun,Publication,Siege,Investissement
7173,14310/2018,2018,2018-06-11 00:00:00,Achat de petit outillage et de petit équipement,Engagement,12480.0,STERIFIL,Bon de commandes,"Installations techniques, Matériel et Outillage",POLYCLINIQUE EL JADIDA,Investissement
7174,13781/2018,2018,2018-12-25 00:00:00,Maintenance des agencements & installations techniques									,Engagement,6288.0,KENITRA SECURITE  INCENDIE,Bon de commandes,Réparation et maintenance des équipements et des installations techniques ,POLYCLINIQUE KENITRA,Investissement
7175,13795/2018,2018,2018-12-25 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3456.0,MAISON AL FASSIA,Bon de commandes,"Hôtellerie, hébergement, réception et restauration",POLYCLINIQUE DERB GHALEF,Investissement
7176,281/2019,2019,2019-02-14 00:00:00,Achats de fournitures & Consommable médical,Engagement,358842.0,MBSTS GROUPE,Marché Fournitures,Acquisition du consommable médical,POLYCLINIQUE OUJDA,Investissement
7177,727/2019,2019,2019-02-22 00:00:00,Entretien et réparations des biens mobiliers                                    ,Engagement,2902.01,ITALCAR,Bon de commandes,Service,Siege,Investissement
7178,DRRS 466/2018/91100,2018,2018-12-21 00:00:00,"Achats de travaux, études et prestations de service",Engagement,48912.0,LA MAIN VERTE SARL,Bon de commandes,Service,Direction régionale RABAT SALE (DRRS),Investissement
7179,14194/2018,2018,2018-12-31 00:00:00,Achat de fournitures de bureau,Engagement,60372.0,PROVEDIC,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
7180,9114/2018,2018,2018-09-24 00:00:00,Formation									,Engagement,331200.0,EITIA CONSULTING SARL,Marché Services,,Siege,Investissement
7181,1171/2019,2019,2019-01-01 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,119471.2,SANOFI AVENTIS MAROC,Marché Fournitures,Fourniture de produits pharmaceutiques,POLYCLINIQUE SETTAT,Investissement
7182,15286/2018,2018,2018-01-12 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,2824.28,ITALCAR,Bon de commandes,Entretien et réparation des biens mobiliers,Siege,Investissement
7183,955/2019,2019,2019-02-28 00:00:00,Achats de Fournitures de bureau et d'Informatique,Engagement,94009.9,Sté MAROC SURFACE SARL,Bon de commandes,Fourniture de bureau,POLYCLINIQUE OUJDA,Investissement
7184,10577/2018,2018,2018-09-20 00:00:00,Achats Pièces de Rechange Matériel Médical,Engagement,17217.6,ISOMED,Bon de commandes,Réparation,POLYCLINIQUE AGADIR,Investissement
7185,14312/2018,2018,2018-11-08 00:00:00,Achats de fournitures & Consommable médical,Engagement,2500.0,HEMOLAB SARL,Bon de commandes,Fourniture de consommable médical,POLYCLINIQUE EL JADIDA,Investissement
7186,999/2019,2019,2019-03-01 00:00:00,Réception & participation aux manifestations officielles                                    ,Engagement,897750.0,MEGAMARK,Contrat Droit Commun,Réception et participation aux manifestations officielles,Siege,Investissement
7187,1000/2019,2019,2019-03-01 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,34010.4,PROMALAB,Marché Fournitures,Fourniture de consommable et réactifs de laboratoire,POLYCLINIQUE OUJDA,Investissement
7188,BC014/2018/9310,2018,2018-07-04 00:00:00,Achat de fournitures informatiques,Engagement,16320.0,TA BURO SARL,Bon de commandes,Acquisition du consommable informatique,Direction régionale CHAOUIA TADLA (DRCT),Investissement
7189,7527/2018,2018,2018-07-11 00:00:00,"Achats de travaux, études et prestations de service",Engagement,68400.0,ATHISA MAROC SARL,Marché Services,Service,POLYCLINIQUE TANGER,Investissement
7190,9473/2018,2018,2018-10-02 00:00:00,Achat de fournitures de bureau,Engagement,2868.0,AMAY BURO MAROC,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
7191,9744/2018,2018,2018-03-02 00:00:00,Formation									,Engagement,183600.0,FORINFO,Marché Services,Formation,Siege,Investissement
7192,9989/2018,2018,2018-10-11 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,360.0,Sté OLI - SUD SARL,Bon de commandes,Entretien et réparation des biens mobiliers,POLYCLINIQUE AGADIR,Investissement
7193,9185/2017,2017,2017-12-30 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,1000.25,NEW TOP AUTO-Atelier-,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale CHAOUIA TADLA (DRCT),Investissement
7194,8186/2018,2018,2018-08-30 00:00:00,Formation									,Engagement,868000.0,ISCAE,Contrat Droit Commun,Formation,Siege,Investissement
7195,8210/2018,2018,2018-06-07 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,19544.41,POLYMEDIC,Marché Fournitures,Fourniture de produits pharmaceutiques,POLYCLINIQUE SIDI BERNOUSSI,Investissement
7196,8832/2018,2018,2018-09-21 00:00:00,"Autres mobiliers, mat.de bureau et aménagements divers",Engagement,11700.0,BOTECH,Bon de commandes,Acquisition mobilier et materiel de bureau,POLYCLINIQUE AGADIR,Investissement
7197,9043/2018,2018,2018-09-21 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,684.0,ITALCAR,Bon de commandes,Entretien et réparation des biens mobiliers,Siege,Investissement
7198,10703/2018,2018,2018-10-12 00:00:00,Annonces et insertions,Engagement,993.6,GROUPE MAROC SOIR,Bon de commandes,Documentation générale,POLYCLINIQUE AGADIR,Investissement
7199,Marché 05/2018,2018,2018-08-17 00:00:00,Matériel de bureau,Engagement,223534.8,FOURNITURE L'HORIZON SARL,Marché Travaux,Matériel de bureau,Direction régionale RABAT SALE (DRRS),Investissement
7200,10669/2018,2018,2018-08-24 00:00:00,Matériel Médical ,Engagement,42120.0,DELTATEC,Marché Fournitures,Acquisition du matériels médical,POLYCLINIQUE DERB GHALEF,Investissement
7201,10670/2018,2018,2018-08-24 00:00:00,Matériel Médical ,Engagement,749400.0,TECHNIQUES SCIENCE-SANTE-(T2S),Marché Fournitures,Acquisition du matériels médical,POLYCLINIQUE DERB GHALEF,Investissement
7202,10671/2018,2018,2018-08-24 00:00:00,Matériel Médical ,Engagement,62277.6,ISOMED,Marché Fournitures,Acquisition du matériels médical,POLYCLINIQUE DERB GHALEF,Investissement
7203,2895/2019,2019,2019-03-10 00:00:00,Frais postaux                                    ,Engagement,10000000.0,POSTE MAROC,Contrat Droit Commun,Service,Siege,Investissement
7204,2604/2019,2019,2019-01-01 00:00:00,Achats de fournitures & Consommable médical,Engagement,154452.0,STEPLUS S.A.R.L,Marché Fournitures,Fourniture de consommable et réactifs de laboratoire,POLYCLINIQUE INARA,Investissement
7205,2509/2019,2019,2019-01-01 00:00:00,Achats de fournitures & Consommable médical,Engagement,663000.0,HEMOLAB PHARMA SA,Marché Fournitures,Fourniture de consommable médical,POLYCLINIQUE MOHAMMADIA,Investissement
7206,3210/2019,2019,2019-01-01 00:00:00,Achats de fournitures & Consommable médical,Engagement,19932.0,MBSTS GROUPE,Marché Fournitures,Acquisition du consommable médical,POLYCLINIQUE DERB GHALEF,Investissement
7207,3223/2019,2019,2019-01-01 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,3403360.0,PROMOPHARM,Marché Fournitures,produits pharmaceutiques,POLYCLINIQUE DERB GHALEF,Investissement
7208,2783/2019,2019,2019-01-01 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,73830.0,IBERMA,Marché Fournitures,,POLYCLINIQUE ZIRAOUI,Investissement
7209,DRRS 13/2019/91100,2019,2019-03-08 00:00:00,Réception & participation aux manifestations officielles                                    ,Engagement,5940.0,LE GRAND BUFFET SARL,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale RABAT SALE (DRRS),Investissement
7210,3220/2019,2019,2019-01-01 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,35310.0,BIOCODEX,Marché Fournitures,produits pharmaceutiques,POLYCLINIQUE DERB GHALEF,Investissement
7211,3742/2019,2019,2019-05-02 00:00:00,Entretien et réparations des biens mobiliers                                    ,Engagement,2291.18,ITALCAR,Bon de commandes,Entretien et réparation des biens mobiliers,Siege,Investissement
7212,4287/2019,2019,2019-05-07 00:00:00,Achat de petit outillage et de petit équipement,Engagement,19980.0,SOPARMA SARL,Bon de commandes,"installation technique,materiel et outillage",POLYCLINIQUE SETTAT,Investissement
7213,3966/2019,2019,2019-03-21 00:00:00,Entretien et réparations des biens mobiliers                                    ,Engagement,971.06,RENAULT COMMERCE MAROC,Bon de commandes,Entretien et réparations des biens immobiliers ,Direction régionale CASA ANFA (DRCA),Investissement
7214,3631/2019,2019,2019-04-26 00:00:00,Maintenance des agencements & installations techniques                                    ,Engagement,32775.08,MEGAFLEX,Bon de commandes,Maintenance,POLYCLINIQUE DERB GHALEF,Investissement
7215,4125/2019,2019,2019-05-08 00:00:00,"Achats de travaux, études et prestations de service",Engagement,706320.0,E.D.S.N,Marché Services,Service,Direction régionale AIN SEBAA HAY MOHAMMADI (DRASHM),Investissement
7216,4356/2019,2019,2019-02-11 00:00:00,Achats de fournitures & Consommable médical,Engagement,26200.8,LA GALERIE MEDICALE SARL,Bon de commandes,Acquisition du consommable médical,POLYCLINIQUE KENITRA,Investissement
7217,4862/2019,2019,2019-05-21 00:00:00,Entretien et réparations des biens mobiliers                                    ,Engagement,2446.76,RENAULT COMMERCE MAROC,Bon de commandes,Service,Siege,Investissement
7218,5280/2019,2019,2019-05-30 00:00:00,Achat de fournitures de bureau,Engagement,57300.0,PROVEDIC,Marché Fournitures,ACQUISITION DE FOURNITURES DE BUREAU ET FOURNITURES INFORMATIQUESS,Direction régionale CASA ANFA (DRCA),Investissement
7219,5600/2019,2019,2019-02-27 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,36583.8,UGP PARTENARIATS S.A,Bon de commandes,produits pharmaceutiques,POLYCLINIQUE HAY HASSANI,Investissement
7220,1517/2019,2019,2019-03-14 00:00:00,Achat de fournitures de bureau,Engagement,35400.0,AD PLUS,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
7221,ENG BC DEP 1087/2019/90300,2019,2019-06-12 00:00:00,Réception & participation aux manifestations officielles                                    ,Engagement,1728.0,STE MUSHAS PUB,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale SIDI OTHMANE HAY HASSANI (DRSOHH),Investissement
7222,4368/2019,2019,2019-02-11 00:00:00,Achats de fournitures & Consommable médical,Engagement,604.8,LA GALERIE MEDICALE SARL,Bon de commandes,Acquisition du consommable médical,POLYCLINIQUE KENITRA,Investissement
7223,Marché n °04 /2019 lot N°3,2019,2019-05-24 00:00:00,Achat de fournitures informatiques,Engagement,34980.0,MONDOFFICE,Marché Fournitures,Acquisition de fournitures informatiques,Direction régionale CHAOUIA TADLA (DRCT),Investissement
7224,DIB DEP998/2019/90300,2019,2019-05-29 00:00:00,Entretien et réparations des biens immobiliers                                    ,Engagement,16896.0,UNIVERSAL INCENDIE s.a.r.l,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale SIDI OTHMANE HAY HASSANI (DRSOHH),Investissement
7225,DIB301/2018/90300,2018,2018-07-26 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,20619.6,ELECTRO BEN FADIL SARL AU,Bon de commandes,Service,Direction régionale SIDI OTHMANE HAY HASSANI (DRSOHH),Investissement
7226,1868/2019,2019,2019-03-21 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,16206.0,ESPACE BIOLOGIE,Bon de commandes,"Produits chimiques et de laboratoire, pesticides et insecticides",POLYCLINIQUE KENITRA,Investissement
7227,5146/2019,2019,2019-01-09 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,194354.4,SOTHEMA,Marché Fournitures,produits pharmaceutiques,POLYCLINIQUE HAY HASSANI,Investissement
7228,5376/2019,2019,2019-01-01 00:00:00,Achats de fournitures & Consommable médical,Engagement,196984.2,GAMA MED ,Marché Fournitures,Acquisition du consommable médical,POLYCLINIQUE HAY HASSANI,Investissement
7229,1910/2019,2019,2019-01-01 00:00:00,Maintenance des agencements & installations techniques                                    ,Engagement,185160.0,GLOSYS,Marché Travaux,"installation technique,materiel et outillage",POLYCLINIQUE HAY HASSANI,Investissement
7230,16172/2018,2018,2018-03-12 00:00:00,Achats de fournitures & Consommable médical,Engagement,20760.0,STEPLUS S.A.R.L,Bon de commandes,Fourniture de consommable médical,POLYCLINIQUE EL JADIDA,Investissement
7231,5174/2019,2019,2019-05-29 00:00:00,Achats de fournitures & Consommable médical,Engagement,19686.0,LA GALERIE MEDICALE SARL,Bon de commandes,Acquisition du consommable médical,POLYCLINIQUE KENITRA,Investissement
7232,ENG DAP 01/2019/90300,2019,2019-03-11 00:00:00,"Achats de travaux, études et prestations de service",Engagement,500.0,NEONVERT productions sarl,Bon de commandes,Service,Ex Siége,Investissement
7233,ENG DAP 01/2019/90300,2019,2019-03-11 00:00:00,Entretien et réparations des biens immobiliers                                    ,Engagement,800.0,NEONVERT productions sarl,Bon de commandes,Service,Ex Siége,Investissement
7234,1627/2019,2019,2019-02-21 00:00:00,Formation                                    ,Engagement,203354.8,LMS FORMATION SARL,Marché Services,Formation,Siege,Investissement
7235,1972/2019,2019,2019-02-21 00:00:00,Formation                                    ,Engagement,271858.2,LMS FORMATION SARL,Marché Services,Formation,Siege,Investissement
7236,1993/2019,2019,2019-03-25 00:00:00,Achat de fournitures de bureau,Engagement,4896.0,AL AMANE BUREAU,Bon de commandes,Acquisition du consommable bureautique,Direction régionale TENSIFT ATLANTIQUE (DRTA),Investissement
7237,15933/2018,2018,2018-11-22 00:00:00,Matériel Médical ,Engagement,228000.0,TECHNIQUES SCIENCE-SANTE-(T2S),Marché Fournitures,Acquisition du matériels médical,POLYCLINIQUE KENITRA,Investissement
7238,2304/2019,2019,2019-01-01 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,90966.91,COOPER PHARMA,Marché Fournitures,Fourniture de produits pharmaceutiques,POLYCLINIQUE MOHAMMADIA,Investissement
7239,1647/2019,2019,2019-01-01 00:00:00,Achats de fournitures & Consommable médical,Engagement,183252.0,STERIFIL,Marché Fournitures,,POLYCLINIQUE ZIRAOUI,Investissement
7240,ENG MARCHE 02/2019/90300,2019,2019-05-29 00:00:00,Achat de fournitures de bureau,Engagement,52020.0,PROVEDIC,Marché Fournitures,Fourniture de bureau,Direction régionale SIDI OTHMANE HAY HASSANI (DRSOHH),Investissement
7241,5663/2019,2019,2019-06-12 00:00:00,Maintenance des agencements & installations techniques                                    ,Engagement,28059.0,AZ BATIMENT ,Bon de commandes,Maintenance,POLYCLINIQUE KENITRA,Investissement
7242,5489/2019,2019,2019-06-04 00:00:00,Entretien et réparations des biens immobiliers                                    ,Engagement,3624.0,SOLVO TRAVAUX DIVERS S.A.R.L,Bon de commandes,Entretien et réparations des biens immobiliers ,Direction régionale CHAOUIA TADLA (DRCT),Investissement
7243,16174/2018,2018,2018-05-21 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,1223.65,SANOFI AVENTIS MAROC,Bon de commandes,produits pharmaceutiques,POLYCLINIQUE KENITRA,Investissement
7244,15913/2018,2018,2018-12-27 00:00:00,Agencements et aménagements des constructions,Engagement,96634.8,GOLD YOU BUILDING,Marché Travaux,Agencement et aménagement des constructions,POLYCLINIQUE KENITRA,Investissement
7245,2950/2019,2019,2019-01-01 00:00:00,Achats de fournitures & Consommable médical,Engagement,89460.0,MBSTS GROUPE,Marché Fournitures,Acquisition du consommable médical,POLYCLINIQUE KENITRA,Investissement
7246,16060/2018,2018,2018-11-29 00:00:00,Matériel Médical ,Engagement,3600.0,MEDICAL LABORATOIRE SERVICE,Marché Fournitures,Acquisition du matériels médical,POLYCLINIQUE MOHAMMADIA,Investissement
7247,15746/2018,2018,2018-03-21 00:00:00,Location et charges locatives,Engagement,158145.6,S.I.A.M,Contrat Droit Commun,Location de salles et de stands et prestations y afférents,Siege,Investissement
7248,2603/2019,2019,2019-04-05 00:00:00,Achats de fournitures & Consommable médical,Engagement,454094.91,MBSTS GROUPE,Marché Fournitures,Fourniture de consommable médical,POLYCLINIQUE MOHAMMADIA,Investissement
7249,15936/2018,2018,2018-08-31 00:00:00,Matériel Médical ,Engagement,379992.0,TIBO MEDICAL ,Marché Fournitures,Acquisition du matériels médical,POLYCLINIQUE KENITRA,Investissement
7250,4465/2019,2019,2019-05-02 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,4200.0,MABIOTECH,Bon de commandes,Fourniture de consommable et réactifs de laboratoire,POLYCLINIQUE AGADIR,Investissement
7251,BC 20/2019/91100,2019,2019-05-14 00:00:00,Achat de fournitures de bureau,Engagement,45000.0,OFFICE DISTRIBUTION BUREAUTIQUE,Bon de commandes,Fourniture de bureau,Direction régionale RABAT SALE (DRRS),Investissement
7252,3167/2019,2019,2019-01-01 00:00:00,Matériel D'Hébergement,Engagement,24690.6,LOCAMED SERVICE,Marché Travaux,"Hôtellerie, hébergement, réception et restauration",POLYCLINIQUE HAY HASSANI,Investissement
7253,3413/2019,2019,2019-04-23 00:00:00,Achat de fournitures de bureau,Engagement,1200.0,IMPRIMERIE ETOILE D'OR,Bon de commandes,Travaux d'impression,Ex Siége,Investissement
7254,3417/2019,2019,2019-04-23 00:00:00,Achat de fournitures d'entretien,Engagement,200.0,LP TRAITEUR,Bon de commandes,Réception et participation aux manifestations officielles,Ex Siége,Investissement
7255,BC 26/2019/91100,2019,2019-05-02 00:00:00,Réception & participation aux manifestations officielles                                    ,Engagement,815.0,PALFO SARL,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale RABAT SALE (DRRS),Investissement
7256,1819/2019,2019,2019-03-21 00:00:00,Achats de combustibles,Engagement,9960.0,AFRIQUIA SMDC,Bon de commandes,Achat de combustibles,Direction régionale CHAOUIA TADLA (DRCT),Investissement
7257,5988/2019,2019,2019-01-01 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,95885.4,PROMALAB,Marché Fournitures,Acquisition du consommable médical,POLYCLINIQUE EL JADIDA,Investissement
7258,131,2018,2019-01-01 00:00:00,Maintenance des agencements & installations techniques									,Dimunition Réengagement,112526.4,MAGHREB OXYGENE,Marché Services,Maintenance,POLYCLINIQUE TANGER,Investissement
7259,2787/2019,2019,2019-01-01 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,16585.0,HEMOLAB PHARMA SA,Marché Fournitures,,POLYCLINIQUE ZIRAOUI,Investissement
7260,3420/2019,2019,2019-04-23 00:00:00,Achat de fournitures d'entretien,Engagement,200.0,LP TRAITEUR,Bon de commandes,Réception et participation aux manifestations officielles,Direction Générale,Investissement
7261,3420/2019,2019,2019-04-23 00:00:00,Réception & participation aux manifestations officielles                                    ,Engagement,1200.0,LP TRAITEUR,Bon de commandes,Réception et participation aux manifestations officielles,Direction Générale,Investissement
7262,3420/2019,2019,2019-04-23 00:00:00,Frais postaux                                    ,Engagement,800.0,LP TRAITEUR,Bon de commandes,Réception et participation aux manifestations officielles,Direction Générale,Investissement
7263,5482/2019,2019,2019-04-30 00:00:00,Achat de produits d'entretien,Engagement,24498.96,ZYD MYLTISERVICES,Bon de commandes,produits d'entretien,POLYCLINIQUE SIDI BERNOUSSI,Investissement
7264,4798/2019,2019,2019-05-17 00:00:00,Achat de produits d'entretien,Engagement,149996.4,Sté AROUDANE SERVICES SARL,Bon de commandes,produits d'entretien,POLYCLINIQUE AGADIR,Investissement
7265,4939/2019,2019,2019-05-23 00:00:00,Achats de combustibles,Engagement,27300.0,LARACHE MOHAMMED,Bon de commandes,Achat de combustibles,Direction régionale KENITRA KHEMISSET (DRKK),Investissement
7266,5669/2019,2019,2019-05-02 00:00:00,Maintenance des agencements & installations techniques                                    ,Engagement,22992.01,RENATEL,Marché Services,Maintenance,POLYCLINIQUE AGADIR,Investissement
7267,5015/2019,2019,2019-05-27 00:00:00,Entretien et réparations des biens mobiliers                                    ,Engagement,15996.0,SMART ELECTROMENAGER,Bon de commandes,Entretien et réparations des biens immobiliers ,POLYCLINIQUE KENITRA,Investissement
7268,5768/2019,2019,2019-06-14 00:00:00,Achats de Fournitures de bureau et d'Informatique,Engagement,237802.2, Sté INBIAAT SOUSS STARS,Bon de commandes,Acquisition des imprimes,POLYCLINIQUE AGADIR,Investissement
7269,2758/2019,2019,2019-01-01 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,33035.0,SOTHEMA,Marché Fournitures,,POLYCLINIQUE ZIRAOUI,Investissement
7270,16055/2018,2018,2018-11-13 00:00:00,"Autres mobiliers, mat.de bureau et aménagements divers",Engagement,12000.0,TAJ INVEST SARLAU,Bon de commandes,Acquisition du Matériels de Bureau,POLYCLINIQUE MOHAMMADIA,Investissement
7271,5404/2019,2019,2019-04-27 00:00:00,Achats de Fournitures de bureau et d'Informatique,Engagement,48399.6,TACTIQUES INFORMATIQUES BUREAUTIQUES,Bon de commandes,Acquisition de fournitures de bureau,POLYCLINIQUE SIDI BERNOUSSI,Investissement
7272,2696/2019,2019,2019-01-31 00:00:00,Formation                                    ,Engagement,140400.0,CECOFORMA,Marché Services,Formation,Siege,Investissement
7273,5224/2019,2019,2019-05-29 00:00:00,Entretien et réparations des biens mobiliers                                    ,Engagement,7320.0,BEST ONE NEGOCE,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale SIDI OTHMANE HAY HASSANI (DRSOHH),Investissement
7274,5674/2019,2019,2019-04-29 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,11940.0,STERIFIL,Bon de commandes,Fourniture de consommable et réactifs de laboratoire,POLYCLINIQUE SIDI BERNOUSSI,Investissement
7275,1847/2019,2019,2019-01-01 00:00:00,Achats de Prestations Diverses,Engagement,120000.0,ATHISA MAROC ,Marché Fournitures,Traitement des déchets hospitaliers,POLYCLINIQUE SETTAT,Investissement
7276,DRRS 46/2019/91100,2019,2019-02-28 00:00:00,Documentation générale                                    ,Engagement,1003.0,PAPETERIE TABACS LA RUCHE,Bon de commandes,Documentation,Direction régionale RABAT SALE (DRRS),Investissement
7277,3418/2019,2019,2019-04-23 00:00:00,Entretien et réparations des biens immobiliers                                    ,Engagement,2100.0,INSTALLATOR,Marché Fournitures,Acquisition du Mobilier de Bureau,EX (Direction Régionale Tadla Chaouia Ourdigha),Investissement
7278,3419/2019,2019,2019-04-23 00:00:00,Réception & participation aux manifestations officielles                                    ,Engagement,1200.0,H.M PNEU,Bon de commandes,Réparation,Ex Siége,Investissement
7279,3801/2019,2019,2019-04-18 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,33700.43,UGP PARTENARIATS S.A,Bon de commandes,produits pharmaceutiques,POLYCLINIQUE INARA,Investissement
7280,1434/2019,2019,2019-01-01 00:00:00,Achats de Prestations Diverses,Engagement,749595.6,COMMANDOS SECURITE,Marché Services,,POLYCLINIQUE ZIRAOUI,Investissement
7281,15683/2018,2018,2018-01-01 00:00:00,Matériel Médical ,Engagement,259159.2,METEC DIAGNOSTIC,Marché Fournitures,Acquisition du matériels médical,POLYCLINIQUE SETTAT,Investissement
7282,4399/2019,2019,2019-05-13 00:00:00,Agencements et aménagements des constructions,Engagement,93240.0,STE EL AROUI TRAVAUX SARL,Bon de commandes,Travaux,Direction régionale TANGER TETOUAN (DRTT),Investissement
7283,1770/2019,2019,2019-03-20 00:00:00,Réception & participation aux manifestations officielles                                    ,Engagement,4804.8,STE D'EXTENTION ET DE PROMOTION DU GOLF,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale CHAOUIA TADLA (DRCT),Investissement
7284,2146/2019,2019,2019-03-27 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,204468.57,UGP PARTENARIATS S.A,Bon de commandes,Fourniture de produits pharmaceutiques,POLYCLINIQUE SIDI BERNOUSSI,Investissement
7285,2412/2019,2019,2019-01-01 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,148354.32,PROMALAB,Marché Fournitures,,POLYCLINIQUE DERB GHALEF,Investissement
7286,BC 10/2019/91100,2019,2019-03-01 00:00:00,Réception & participation aux manifestations officielles                                    ,Engagement,840.0,PALFO SARL,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale RABAT SALE (DRRS),Investissement
7287,1734/2019,2019,2019-03-14 00:00:00,Annonces et insertions,Engagement,950.4,GROUPE MAROC SOIR,Bon de commandes,Annonces et Insertions,POLYCLINIQUE AGADIR,Investissement
7288,7674/2019,2019,2019-06-28 00:00:00,Achats de Fournitures de bureau et d'Informatique,Engagement,45606.0,RNT,Bon de commandes,Acquisition du consommable informatique et bureautique,POLYCLINIQUE ZIRAOUI,Investissement
7289,7317/2019,2019,2019-06-19 00:00:00,Achats Pièces de Rechange Matériel Médical,Engagement,13800.0,LA GALERIE MEDICALE SARL,Bon de commandes,Pièces de rechange pour matériel technique,POLYCLINIQUE KENITRA,Investissement
7290,16393/2018,2018,2018-12-31 00:00:00,Logiciels et Progiciels,Engagement,585274.8,FINATECH GROUP,Marché Fournitures,,Siege,Investissement
7291,7682/2019,2019,2019-07-24 00:00:00,"Autres mobiliers, mat.de bureau et aménagements divers",Engagement,39990.0,2 CC-TN SARL,Bon de commandes,Matériel de cuisine,Direction régionale AIN SEBAA HAY MOHAMMADI (DRASHM),Investissement
7292,7727/2019,2019,2019-07-31 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,2376.0,MEGAFLEX,Bon de commandes,produits pharmaceutiques,POLYCLINIQUE AGADIR,Investissement
7293,7735/2019,2019,2019-07-19 00:00:00,Maintenance des agencements & installations techniques                                    ,Engagement,4200.0,TECHNIC FILE,Bon de commandes,Maintenance,Direction régionale TANGER TETOUAN (DRTT),Investissement
7294,8161/2019,2019,2019-05-13 00:00:00,Achats de Prestations Diverses,Engagement,5000.0,NIZAOUI TRAVAUX,Bon de commandes,Travaux,POLYCLINIQUE HAY HASSANI,Investissement
7295,8750/2019,2019,2019-08-09 00:00:00,Mobilier de bureau,Engagement,63960.0,K INFO SYSTEME SARL,Bon de commandes,Acquisition du Mobilier de Bureau,Direction régionale CASA ANFA (DRCA),Investissement
7296,8291/2019,2019,2019-08-09 00:00:00,Entretien et réparations des biens mobiliers                                    ,Engagement,1080.0,STE MAJD TECHNOLOGIE,Bon de commandes,Entretien et réparation de matériel et de mobilier,Direction régionale KENITRA KHEMISSET (DRKK),Investissement
7297,16412/2018,2018,2018-11-29 00:00:00,Matériel D'Hébergement,Engagement,83640.0,MEDICAL LABORATOIRE SERVICE,Bon de commandes,Matériels d'hébergement et articles de literie et de couchage et matériels de cuisine et de buanderie,POLYCLINIQUE MOHAMMADIA,Investissement
7298,9377/2019,2019,2019-09-18 00:00:00,Formation                                    ,Engagement,67800.0,INTELCIA,Bon de commandes,Formation,Siege,Investissement
7299,9657/2019,2019,2019-09-22 00:00:00,Achats de fournitures & Consommable médical,Dimunition Engagement,24300.0,STERIFIL,Marché Fournitures,Acquisition du consommable médical,POLYCLINIQUE DERB GHALEF,Investissement
7300,9658/2019,2019,2019-09-22 00:00:00,Achats de fournitures & Consommable médical,Dimunition Engagement,42564.91,LOHMANN RAUSCHER,Marché Travaux,Acquisition du consommable médical,POLYCLINIQUE DERB GHALEF,Investissement
7301,7976/2019,2019,2019-02-05 00:00:00,Formation                                    ,Engagement,288000.0,Mouvement conseil,Contrat Droit Commun,Formation,Siege,Investissement
7302,8620/2019,2019,2019-06-25 00:00:00,Achats Produits Pharmaceutiques & Laboratoires,Engagement,2676.0,ISOLAB SARL,Bon de commandes,Fourniture de produits pharmaceutiques,POLYCLINIQUE AGADIR,Investissement
